Epic;User Story Count;User Story;Description;Acceptance Criteria;Out of Scope;Test Cases
Registro y Creación de Nuevas Iniciativas;1_registro_formulario_mostrar;Como Usuario Operativo, necesito que se muestre un formulario para crear una nueva iniciativa con campos obligatorios claramente identificados, para poder ingresar toda la información necesaria desde el inicio.;Se mostrará un formulario estructurado para la creación de nuevas iniciativas que incluya campos obligatorios como nombre del proyecto, responsable asignado, estado inicial, fecha límite, prioridad y descripción. Los campos obligatorios deben estar claramente marcados para guiar al usuario.;"- El sistema muestra el formulario para crear una nueva iniciativa.
- Todos los campos obligatorios están presentes y marcados con un asterisco o similar.
- Campos obligatorios incluyen: nombre del proyecto, responsable asignado, estado inicial, fecha límite, prioridad, descripción.
- El formulario es accesible desde la interfaz principal del Usuario Operativo.";"- Edición o visualización de iniciativas ya registradas.
- Gestión de múltiples responsables.
- Validación de datos ingresados.";"- Dado que soy un Usuario Operativo, cuando accedo a la función de crear una iniciativa, entonces el formulario se muestra con todos los campos obligatorios visibles y marcados.
- Verificar que los campos obligatorios están claramente indicados visualmente."
Registro y Creación de Nuevas Iniciativas;2_registro_validacion_campos;Como Usuario Operativo, necesito que el formulario valide que todos los campos requeridos estén completos y correctos antes de guardar, para evitar errores y asegurar la integridad de la información registrada.;El sistema debe validar que los campos obligatorios estén completos y que los datos ingresados cumplan con los formatos esperados (por ejemplo, fechas válidas, nombres no vacíos, responsable existente). La validación debe ocurrir antes de permitir guardar la iniciativa.;"- El sistema impide guardar si algún campo obligatorio está vacío.
- El sistema muestra mensajes de error claros junto a cada campo incorrecto o incompleto.
- Se valida formato correcto en campos específicos como fecha límite.
- No se permite el envío hasta que todas las validaciones pasen.
- La validación funciona tanto en desktop como en dispositivos móviles.";"- Validación de permisos del usuario.
- Edición posterior a la creación.
- Guardado de datos en el sistema.";"- Dado que el Usuario Operativo deja un campo obligatorio vacío y presiona guardar, entonces se muestra un mensaje de error y no se guarda.
- Dado que el Usuario Operativo ingresa un formato inválido en fecha límite, entonces se muestra un mensaje de error específico.
- Dado que todos los campos están correctos, entonces el botón guardar se habilita y permite continuar."
Registro y Creación de Nuevas Iniciativas;3_registro_asignar_responsable;Como Usuario Operativo, necesito poder asignar un responsable a la iniciativa durante el registro mediante un selector o lista desplegable, para facilitar el seguimiento y gestión futura.;Durante el registro de la iniciativa, el formulario debe incluir un campo para seleccionar un responsable entre una lista de usuarios autorizados. La selección del responsable es obligatoria antes de guardar la iniciativa.;"- El formulario presenta un campo selector desplegable de responsables disponibles.
- El campo responsable es obligatorio para poder guardar.
- El usuario no puede guardar la iniciativa sin asignar responsable.
- La lista de responsables muestra nombres y roles para facilitar la selección.
- El selector es usable en dispositivos móviles y desktop.";"- Modificación del responsable después del registro.
- Gestión o creación de responsables nuevos.
- Asignación múltiple de responsables.";"- Dado que el Usuario Operativo intenta guardar sin seleccionar responsable, entonces se muestra un mensaje de error y no se guarda.
- Dado que el Usuario Operativo selecciona un responsable válido, entonces el campo queda registrado correctamente.
- Verificar que la lista de responsables incluye solo usuarios autorizados."
Registro y Creación de Nuevas Iniciativas;4_registro_guardar_iniciativa;Como Usuario Operativo, necesito que el sistema guarde la iniciativa con los datos ingresados solo si la validación es exitosa, para asegurar que la información quede correctamente registrada y disponible.;Una vez que el usuario complete el formulario correctamente y asigne un responsable, el sistema debe guardar la iniciativa en la base de datos, confirmando el éxito de la operación al usuario.;"- Al presionar guardar, si la validación es exitosa, la iniciativa se guarda con todos los datos ingresados.
- El sistema muestra un mensaje de confirmación clara indicando que la iniciativa fue registrada correctamente.
- La iniciativa queda disponible para futuras consultas y modificaciones.
- El sistema maneja la operación tanto en desktop como en móvil.";"- Edición o actualización posterior de la iniciativa.
- Gestión de errores de red o servidor en detalle (excepto confirmaciones básicas).
- Visualización de iniciativas guardadas.";"- Dado que el Usuario Operativo completa correctamente el formulario y presiona guardar, entonces el sistema confirma el registro y persiste los datos.
- Verificar que los datos guardados coinciden con los ingresados.
- Verificar que el mensaje de confirmación es visible y claro."
Registro y Creación de Nuevas Iniciativas;5_registro_error_guardado;Como Usuario Operativo, necesito recibir mensajes de error claros si hay problemas al guardar la iniciativa, para poder corregirlos o tomar acciones adecuadas.;Si ocurre un error en el guardado de la iniciativa (por ejemplo, fallo de conexión o error en el servidor), el sistema debe informar al usuario con mensajes claros y sugerencias para intentar nuevamente o contactar soporte.;"- Si falla el guardado, se muestra un mensaje de error visible y comprensible.
- El mensaje indica si el error es temporal o sugiere pasos a seguir.
- El usuario puede intentar guardar nuevamente sin perder los datos ingresados.
- El sistema no guarda datos incompletos o corruptos.
- El mensaje de error se muestra en todas las plataformas soportadas.";"- Diagnóstico detallado de errores técnicos.
- Notificaciones automáticas a soporte.
- Recuperación automática de datos tras fallo.";"- Simular fallo de guardado y verificar que se muestra mensaje de error.
- Verificar que los datos del formulario permanecen visibles para reintento.
- Verificar que al corregir y reintentar se guarda correctamente."
Registro y Creación de Nuevas Iniciativas;6_modificar_estado_kanban;Como Usuario Operativo, necesito poder modificar el estado de una iniciativa arrastrándola entre columnas en la vista Kanban, para actualizar rápidamente el progreso de la iniciativa y mantener el dashboard sincronizado en tiempo real.;Esta historia permite a los Usuarios Operativos arrastrar y soltar tarjetas representando iniciativas entre diferentes columnas que representan estados (por ejemplo: Pendiente, En Proceso, Finalizada) en el tablero Kanban. El sistema debe actualizar el estado de la iniciativa automáticamente y reflejar los cambios en tiempo real para todos los usuarios.;"- El tablero Kanban muestra columnas correspondientes a los diferentes estados definidos.
- El usuario puede arrastrar una tarjeta de iniciativa de una columna a otra.
- Al soltar la tarjeta, el estado de la iniciativa se actualiza en la base de datos.
- El cambio se refleja en tiempo real en el dashboard sin recargar la página.
- El usuario recibe una confirmación visual inmediata de que el estado fue actualizado.
- Si ocurre un error en la actualización, se muestra un mensaje claro y la tarjeta vuelve a su posición original.";"- Gestión de creación o eliminación de iniciativas.
- Cambios en atributos diferentes al estado mediante arrastrar y soltar.
- Personalización de columnas o estados por el usuario.";"- Dado que estoy en la vista Kanban, cuando arrastro una tarjeta a otra columna y la suelto, entonces el estado de la iniciativa cambia y se visualiza en la nueva columna.
- Dado que la actualización falla por error del servidor, cuando suelto la tarjeta, entonces aparece un mensaje de error y la tarjeta regresa a su columna original.
- Dado que otro usuario actualiza el estado, cuando la vista se refresca en tiempo real, entonces veo el cambio reflejado sin necesidad de recargar."
Registro y Creación de Nuevas Iniciativas;7_editar_detalles_iniciativa;Como Usuario Operativo, necesito poder editar los detalles de una iniciativa asignada desde el dashboard, para actualizar información relevante y mantener los datos de la iniciativa siempre vigentes y precisos.;Esta historia permite a los Usuarios Operativos abrir un formulario o modal desde la visualización de la iniciativa en el dashboard para modificar atributos como descripción, responsable, prioridad o fecha límite, siempre que tengan permiso para editar esa iniciativa.;"- El usuario puede seleccionar una iniciativa desde el dashboard y abrir un formulario editable.
- El formulario pre-carga los datos actuales de la iniciativa.
- El usuario puede modificar campos permitidos (descripción, responsable, prioridad, fecha límite).
- El sistema valida los datos antes de permitir guardar.
- Al guardar, los cambios se reflejan inmediatamente en el dashboard.
- Si hay errores de validación, se muestran mensajes claros para corregir.
- Usuarios sin permisos no pueden acceder a la edición.";"- Creación o eliminación de iniciativas.
- Cambios de estado mediante este formulario (se hacen por Kanban).
- Edición masiva o en lote de iniciativas.";"- Dado que tengo permisos y selecciono una iniciativa, cuando abro el formulario, entonces veo los datos actuales correctamente cargados.
- Dado que modifico la descripción y guardo, entonces el dashboard muestra la descripción actualizada.
- Dado que ingreso una fecha límite inválida, cuando intento guardar, entonces recibo un mensaje de error y no se guarda el cambio.
- Dado que no tengo permisos de edición, cuando intento abrir el formulario, entonces no puedo acceder y recibo una notificación de falta de permisos."
Registro y Creación de Nuevas Iniciativas;8_guardar_cambios_iniciativa;Como Usuario Operativo, necesito poder guardar los cambios realizados en el estado o detalles de una iniciativa, para asegurar que la información actualizada quede registrada y disponible para todo el equipo.;Esta historia cubre el proceso de confirmación y persistencia de los cambios realizados por el Usuario Operativo, ya sea al arrastrar la iniciativa en Kanban o al editar sus detalles, garantizando que los datos queden guardados correctamente en el sistema.;"- El sistema guarda los cambios realizados en estado o detalles inmediatamente después de la acción de actualización.
- Se muestra una confirmación visual clara (por ejemplo, mensaje emergente o cambio de color) indicando que la actualización fue exitosa.
- Si la operación de guardado falla, se muestra un mensaje de error explicativo.
- El dashboard refleja los datos actualizados para todos los usuarios en tiempo real.
- No se permite guardar datos incompletos o inválidos.";"- Creación de nuevas iniciativas.
- Cambios simultáneos concurrentes de múltiples usuarios para la misma iniciativa (no se maneja bloqueo).
- Modificaciones fuera del dashboard o Kanban.";"- Dado que modifico el estado de la iniciativa arrastrándola, cuando la suelto, entonces aparece una confirmación y el cambio queda guardado.
- Dado que edito detalles y guardo, cuando la operación finaliza, entonces veo un mensaje de éxito y los datos actualizados.
- Dado que hay un fallo en la conexión al guardar, cuando intento guardar, entonces recibo un mensaje de error y los cambios no se aplican.
- Dado que intento guardar un campo obligatorio vacío, cuando guardo, entonces recibo una alerta de validación y no se guarda."
Registro y Creación de Nuevas Iniciativas;9_notificacion_visual_cambios;Como Usuario Operativo, necesito recibir notificaciones visuales que indiquen los cambios recientes en las iniciativas del dashboard, para mantenerme informado de actualizaciones importantes sin necesidad de recargar la página o buscar manualmente.;Esta historia implementa un sistema de alertas visuales (por ejemplo, resaltados temporales, íconos, mensajes emergentes) que notifiquen al Usuario Operativo sobre modificaciones recientes en el estado o detalles de cualquier iniciativa visible en el dashboard.;"- Cuando una iniciativa cambia de estado o se actualizan sus detalles, el dashboard muestra una notificación visual clara asociada a esa iniciativa.
- La notificación debe ser visible sin obstruir la interacción y debe desaparecer automáticamente después de un tiempo razonable.
- El usuario puede identificar fácilmente qué iniciativa fue modificada.
- Las notificaciones se actualizan en tiempo real sin necesidad de refrescar la página.
- Notificaciones previas se eliminan o actualizan para evitar acumulación excesiva.";"- Notificaciones por correo o canales externos.
- Configuración personalizada del tipo o frecuencia de notificaciones.
- Registro histórico de notificaciones.";"- Dado que otra persona cambia el estado de una iniciativa, cuando la actualización se refleja en mi dashboard, entonces veo una notificación visual sobre esa iniciativa.
- Dado que actualizo detalles de una iniciativa, cuando guardo los cambios, entonces aparece una notificación confirmando la actualización.
- Dado que pasan 10 segundos desde la notificación, entonces ésta desaparece automáticamente.
- Dado que múltiples cambios ocurren en diferentes iniciativas, cuando se notifican, entonces cada notificación es visible brevemente y luego desaparece sin superponerse."
Registro y Creación de Nuevas Iniciativas;10_error_permiso_modificar_estado;Como Usuario Operativo, necesito que el sistema me impida modificar el estado de una iniciativa arrastrándola en Kanban si no tengo permisos suficientes, para evitar cambios no autorizados que puedan afectar la gestión del proyecto.;Esta historia contempla la validación de permisos al intentar arrastrar y soltar iniciativas en el tablero Kanban, bloqueando la acción y mostrando un mensaje cuando el usuario no está autorizado a modificar el estado de dicha iniciativa.;"- El sistema verifica permisos antes de permitir el arrastre de la tarjeta.
- Si el usuario no tiene permiso para modificar el estado, la tarjeta no se puede mover a otra columna.
- Se muestra un mensaje claro indicando que no tiene permisos para modificar esa iniciativa.
- El dashboard mantiene la tarjeta en su posición original.
- No se realizan cambios en la base de datos cuando la acción es bloqueada.";"- Gestión de permisos o roles (solo se valida).
- Edición de detalles vía formulario en este caso.
- Notificaciones automáticas para intentos bloqueados.";"- Dado que no tengo permisos para modificar una iniciativa, cuando intento arrastrarla a otra columna, entonces la acción es bloqueada y aparece un mensaje de error.
- Dado que intento mover una iniciativa sin permisos, cuando suelto la tarjeta, entonces permanece en la columna original y no se guarda ningún cambio.
- Dado que tengo permisos, cuando arrastro y suelto, entonces la iniciativa cambia de estado y se guarda."
