Epic;User Story Count;User Story;Description;Acceptance Criteria;Out of Scope;Test Cases
Gestión de Iniciativas mediante Formulario de Registro;1_usuario_formulario_creacion_iniciativa;Como Usuario, necesito un formulario con campos para nombre, responsable, estado, fecha límite, prioridad y descripción, para poder ingresar los datos clave de una nueva iniciativa de forma clara y estructurada.;El Usuario podrá acceder a un formulario dedicado que incluya campos específicos para capturar toda la información necesaria para crear una iniciativa, facilitando una correcta y rápida incorporación de datos.;"- El formulario debe contener campos para: nombre, responsable, estado, fecha límite, prioridad y descripción.
- Cada campo debe tener etiquetas claras y placeholders descriptivos.
- El formulario debe ser accesible desde la interfaz principal para creación de iniciativas.
- El formulario debe ser compatible con dispositivos móviles y desktops.";"- Edición de iniciativas ya creadas.
- Eliminación de iniciativas.
- Configuración avanzada del sistema.";"Dado que un Usuario accede al módulo de creación,
Cuando abre el formulario de nueva iniciativa,
Entonces debe visualizar campos para nombre, responsable, estado, fecha límite, prioridad y descripción correctamente etiquetados.

Dado que el Usuario accede desde un dispositivo móvil,
Cuando abre el formulario,
Entonces todos los campos deben mostrarse y ser utilizables sin desbordes o errores de visualización."
Gestión de Iniciativas mediante Formulario de Registro;2_usuario_validacion_formulario_creacion;Como Usuario, necesito validaciones de campos obligatorios y formatos de fecha en el formulario de creación, para evitar errores y asegurar que la información sea completa y correcta antes de guardar.;El sistema debe validar que todos los campos obligatorios estén completos y que las fechas tengan el formato correcto, mostrando mensajes claros de error para guiar al Usuario a corregir entradas inválidas.;"- Campos obligatorios: nombre, responsable, estado, fecha límite, prioridad.
- Validación de formato para fecha límite (dd/mm/aaaa o formato acordado).
- Mensajes de error visibles, claros y específicos junto a cada campo inválido.
- No se permite guardar la iniciativa si hay errores de validación.
- Validación debe realizarse tanto en envío como en tiempo real (al cambiar datos).";"- Validaciones en edición posterior.
- Validaciones para campos no definidos como obligatorios.
- Procesos de eliminación o configuración.";"Dado que el Usuario completa el formulario con campos vacíos obligatorios,
Cuando intenta guardar,
Entonces debe recibir mensajes de error específicos en cada campo vacío y no se debe guardar la iniciativa.

Dado que el Usuario ingresa una fecha límite en formato incorrecto,
Cuando intenta guardar,
Entonces debe recibir un mensaje de error indicando formato inválido y no se guarda la iniciativa.

Dado que el Usuario corrige los errores,
Cuando todos los campos obligatorios están completos y la fecha es válida,
Entonces el formulario permite guardar sin errores."
Gestión de Iniciativas mediante Formulario de Registro;3_usuario_boton_guardar_iniciativa;Como Usuario, necesito un botón claro y accesible para guardar la nueva iniciativa una vez completado el formulario, para que la iniciativa quede registrada en el sistema y pueda ser consultada posteriormente.;Se debe proporcionar un botón de acción visible para guardar la iniciativa, que solo esté habilitado cuando todas las validaciones sean satisfactorias, asegurando la correcta incorporación en el sistema.;"- Botón de guardar visible y etiquetado como “Guardar iniciativa”.
- Botón está deshabilitado mientras existan errores de validación.
- Al hacer clic en guardar con datos válidos, la iniciativa queda registrada en el sistema.
- Mensaje de confirmación o redirección a vista de seguimiento tras guardado exitoso.
- Botón debe estar accesible desde dispositivos móviles y desktop.";"- Edición o eliminación de iniciativas.
- Validación de datos (ya cubierta en otra historia).
- Gestión avanzada o configuración del sistema.";"Dado que el Usuario completa correctamente el formulario,
Cuando presiona el botón “Guardar iniciativa”,
Entonces la iniciativa se registra en el sistema y aparece confirmación.

Dado que existen errores en el formulario,
Cuando el Usuario visualiza el botón guardar,
Entonces el botón está deshabilitado y no responde a clic.

Dado que el Usuario guarda una nueva iniciativa en móvil,
Cuando completa el formulario y toca guardar,
Entonces la iniciativa se registra sin problemas y el sistema confirma la acción."
Gestión de Iniciativas mediante Formulario de Registro;4_administrador_formulario_creacion_iniciativa;Como Administrador, necesito un formulario con los mismos campos clave para crear nuevas iniciativas, para poder registrar iniciativas con control total y asegurar que la información es completa y válida desde el inicio.;El Administrador accede al mismo formulario que el Usuario, con campos para capturar nombre, responsable, estado, fecha límite, prioridad y descripción, con acceso a todas las funcionalidades necesarias para creación rápida y ordenada.;"- El formulario incluye campos para nombre, responsable, estado, fecha límite, prioridad y descripción.
- El Administrador puede acceder y completar el formulario desde la interfaz principal.
- El formulario es compatible con dispositivos móviles y desktop.
- El formulario refleja el mismo diseño y usabilidad que para Usuarios.";"- Funciones de eliminación o configuración avanzada.
- Edición posterior de iniciativas.
- Validaciones específicas (cubiertas en otra historia).";"Dado que un Administrador abre el módulo de creación de iniciativas,
Cuando accede al formulario,
Entonces debe visualizar y poder completar los campos solicitados.

Dado que el Administrador usa un dispositivo móvil,
Cuando accede al formulario,
Entonces debe poder interactuar con todos los campos sin problemas visuales o funcionales."
Gestión de Iniciativas mediante Formulario de Registro;5_administrador_validacion_formulario_creacion;Como Administrador, necesito validaciones de campos obligatorios y formatos de fecha en el formulario de creación, para asegurar que las iniciativas creadas cumplen con los estándares y evitar inconsistencias en el sistema.;El sistema debe validar que el Administrador ingrese correctamente todos los campos obligatorios y formatos de fecha, mostrando mensajes claros y bloqueando el guardado en caso de errores.;"- Validación obligatoria para nombre, responsable, estado, fecha límite y prioridad.
- Validación de formato para fecha límite aceptado.
- Mensajes de error claros junto a campos con datos inválidos.
- No se permite guardar si hay errores.
- Validación en tiempo real y al enviar el formulario.";"- Validaciones en edición o eliminación.
- Gestión avanzada de configuraciones.";"Dado que el Administrador deja campos obligatorios vacíos,
Cuando intenta guardar,
Entonces recibe mensajes de error específicos y no se guarda la iniciativa.

Dado que el Administrador ingresa una fecha con formato incorrecto,
Cuando intenta guardar,
Entonces el sistema muestra error y bloquea el guardado.

Dado que el Administrador corrige los errores,
Cuando todos los datos son válidos,
Entonces el sistema permite guardar."
Gestión de Iniciativas mediante Formulario de Registro;6_administrador_boton_guardar_iniciativa;Como Administrador, necesito un botón para guardar la nueva iniciativa en el formulario de creación, habilitado solo cuando los datos sean válidos, para registrar iniciativas correctamente y mantener la base de datos actualizada.;Se debe mostrar un botón de guardar accesible y visible que solo se active con datos válidos, confirmando al Administrador la incorporación exitosa de la iniciativa.;"- Botón visible y etiquetado como “Guardar iniciativa”.
- Botón deshabilitado si hay errores de validación.
- Al guardar con datos válidos, la iniciativa se registra y el sistema confirma la acción.
- Compatible con dispositivos móviles y desktop.";"- Edición o eliminación.
- Validaciones (cubiertas en otra historia).
- Configuraciones avanzadas.";"Dado que el Administrador completa el formulario sin errores,
Cuando presiona “Guardar iniciativa”,
Entonces la iniciativa se registra y se muestra confirmación.

Dado que existen errores en el formulario,
Cuando el Administrador visualiza el botón,
Entonces está deshabilitado y no permite guardar.

Dado que el Administrador usa móvil,
Cuando guarda una iniciativa válida,
Entonces el proceso se completa sin problemas."
Gestión de Iniciativas mediante Formulario de Registro;7_usuario_manejo_errores_validacion;Como Usuario, necesito recibir mensajes de error claros cuando intento guardar una iniciativa con campos obligatorios vacíos o formatos incorrectos, para corregir rápidamente los errores y evitar datos incompletos en el sistema.;El sistema debe mostrar mensajes de error específicos junto a cada campo inválido o incompleto al intentar guardar, guiando al Usuario para la corrección de datos antes de permitir el registro.;"- Mensajes de error se muestran junto a cada campo inválido.
- Mensajes son claros, específicos y en lenguaje accesible.
- No se permite guardar mientras existan errores.
- Los mensajes desaparecen cuando el error es corregido.
- Se manejan errores por campos vacíos y formatos de fecha erróneos.";"- Validaciones para campos no obligatorios.
- Eliminación o configuración avanzada.
- Edición posterior de iniciativas.";"Dado que el Usuario intenta guardar con campos vacíos,
Cuando presiona guardar,
Entonces recibe mensajes de error visibles junto a cada campo requerido.

Dado que el Usuario ingresa una fecha inválida,
Cuando intenta guardar,
Entonces el mensaje de error específico sobre formato aparece.

Dado que el Usuario corrige los errores,
Cuando los campos son válidos,
Entonces los mensajes desaparecen y se habilita el guardado."
Gestión de Iniciativas mediante Formulario de Registro;8_administrador_manejo_errores_validacion;Como Administrador, necesito recibir mensajes de error claros y específicos si intento guardar una iniciativa con datos incompletos o con formatos incorrectos, para mantener la integridad y calidad de la base de datos.;El sistema debe mostrar mensajes de error localizados junto a los campos con problemas al Administrador y bloquear el guardado hasta que se corrijan, asegurando la correcta creación de iniciativas.;"- Mensajes de error visibles y específicos junto a cada campo inválido.
- Bloqueo del botón guardar mientras existan errores.
- Mensajes desaparecen al corregir errores.
- Se validan campos obligatorios y formatos de fecha.
- Mensajes en lenguaje claro y profesional.";"- Validaciones en edición o eliminación.
- Configuración avanzada.
- Campos opcionales sin validación.";"Dado que el Administrador deja campos obligatorios vacíos,
Cuando intenta guardar,
Entonces el sistema muestra mensajes de error específicos y bloquea el guardado.

Dado que el Administrador introduce fecha con formato erróneo,
Cuando intenta guardar,
Entonces el mensaje de error aparece y no se guarda.

Dado que corrige los errores,
Cuando todos los datos estén válidos,
Entonces el botón guardar se habilita y permite registro."
Gestión de Iniciativas mediante Formulario de Registro;9_usuario_acceso_form_edicion;Como Usuario, necesito un botón o enlace claro para acceder al formulario de edición de una iniciativa específica desde la lista o detalle de iniciativas, para modificar información relevante sin dificultad.;Este usuario requiere una forma visible y accesible desde la interfaz para abrir el formulario de edición correspondiente a una iniciativa ya registrada, facilitando la actualización de datos como estado, prioridad, fechas o descripción.;"- El botón o enlace de edición debe estar visible junto a cada iniciativa en la lista y en la vista de detalle.
- Al hacer clic, se abre el formulario de edición precargado con los datos actuales de la iniciativa.
- La interfaz debe ser responsiva y funcionar correctamente en dispositivos móviles y desktop.
- Solo usuarios con permisos de edición pueden ver y usar el botón/ enlace.";"- Creación de nuevas iniciativas.
- Eliminación de iniciativas.
- Configuración de permisos.";"- Dado que soy un Usuario con permiso, cuando visualizo la lista de iniciativas, entonces veo el botón/ enlace para editar junto a cada iniciativa.
- Dado que hago clic en el botón/ enlace de edición, cuando se abre el formulario, entonces veo todos los campos actuales cargados correctamente.
- Dado que accedo desde un móvil, cuando abro el formulario de edición, entonces la interfaz se ajusta y es usable."
Gestión de Iniciativas mediante Formulario de Registro;10_usuario_modificacion_campos_iniciativa;Como Usuario, necesito modificar campos específicos como estado, prioridad, fechas o descripción en el formulario de edición, para mantener la información de las iniciativas actualizada y relevante.;Permite al usuario cambiar datos clave de una iniciativa ya registrada, garantizando que la información refleje el estado actual y facilite el seguimiento efectivo.;"- El formulario debe permitir modificar al menos los campos: estado, prioridad, fecha límite y descripción.
- Los campos deben presentar controles adecuados (dropdown para estado y prioridad, datepicker para fechas, textarea para descripción).
- Se debe validar que las fechas sean válidas y que los campos obligatorios no queden vacíos.
- Los cambios pueden ser deshechos antes de guardar mediante un botón de cancelar.";"- Validación de campos no relacionados con la edición.
- Creación o eliminación de iniciativas.
- Configuración avanzada del sistema.";"- Dado que estoy en el formulario de edición, cuando modifico el estado y la prioridad, entonces los nuevos valores se reflejan correctamente.
- Dado que cambio la fecha límite, cuando ingreso una fecha inválida, entonces el sistema muestra un error y no permite guardar.
- Dado que escribo una nueva descripción, cuando guardo, entonces la descripción actualizada queda registrada."
